marca;modelo;pais;year_modelo;clase;sub_clase;avaluo;cilindraje;tipo_combustible
MITSUBISHI;L200 HIRIDER AC 2.5 CD 4X2 TM DIESEL;TAILANDIA;2017;CAMIONETA;DOBLE CABINA;27992.0;2477;DIESEL
NISSAN;X-TRAIL SENSE CVT AC 2.5 5P 4X2 TA;JAPON;2018;JEEP;JEEP;39229.0;2500;GASOLINA
GREAT WALL;WINGLE AC 2.4 CS 4X4 TM;CHINA POPULAR;2018;CAMIONETA;CABINA SIMPLE;23490.0;2378;GASOLINA
CHEVROLET;D-MAX DOHC 2.4 CS 4X2 TM;ECUADOR;2018;CAMIONETA;CABINA SIMPLE;26990.0;2405;GASOLINA
MITSUBISHI;OUTLANDER ES AC 2.4 4P 4X2 TA;JAPON;2018;JEEP;JEEP;46308.62;2400;GASOLINA
HUANGHAI;N1S AC 2.8 CD 4X2 TM DIESEL;CHINA POPULAR;2018;CAMIONETA;DOBLE CABINA;24000.0;2771;DIESEL
HYUNDAI;SANTA FE AC 2.4 5P 4X4 TA;COREA DEL SUR;2015;JEEP;JEEP;27103.28;2400;GASOLINA
NISSAN;X-TRAIL ADVANCE CVT AC 2.5 5P 4X2 TA;JAPON;2018;JEEP;JEEP;45153.0;2488;GASOLINA
CHEVROLET;AVEO FAMILY STD 1.5 4P 4X2 TM;ECUADOR;2018;AUTOMOVIL;SEDAN;16490.0;1500;GASOLINA
TOYOTA;NEW RAV4 CVT AC 2.0 5P 4X2 TA;JAPON;2017;JEEP;JEEP;35192.0;1987;GASOLINA
HUANGHAI;N1S AC 2.4 CD 4X2 TM;CHINA POPULAR;2018;CAMIONETA;DOBLE CABINA;22000.0;2378;GASOLINA
SUZUKI;ERTIGA AC 1.4 5P 4X2 TM;INDIA;2017;AUTOMOVIL;STATION WAGON;11705.86;1400;GASOLINA
KIA;SORENTO AC 3.3 5P 4X4 TA;RUSIA;2016;JEEP;JEEP;47096.13;3342;GASOLINA
MITSUBISHI;LANCER AC 2.0 4P 4X2 TA;JAPON;2017;AUTOMOVIL;SEDAN;39149.37;2000;GASOLINA
SUBARU;FORESTER AC 2.5 5P 4X4 TM;JAPON;2018;JEEP;JEEP;50830.65;2500;GASOLINA
VOLKSWAGEN;TIGUAN TRENDLINE 6SP AC 2.0 5P 4X4 TM;ALEMANIA;2015;JEEP;JEEP;21243.36;2000;GASOLINA
CHEVROLET;TRAVERSE AC 3.6 5P 4X2 TA;ESTADOS UNIDOS;2014;JEEP;JEEP;15237.76;3600;GASOLINA
HONDA;CIVIC AC 1.5 4P 4X2 TM;REINO UNIDO;2017;AUTOMOVIL;SEDAN;37165.74;1500;GASOLINA
TOYOTA;HIGHLANDER LIMITED AC 3.5 5P 4X4 TA;ESTADOS UNIDOS;2018;JEEP;JEEP;52130.22;3500;GASOLINA
TOYOTA;RAV4 AC 2.4 5P 4X2 TA;JAPON;2007;JEEP;JEEP;1761.41;2400;GASOLINA
CHEVROLET;SUBURBAN AC 6.0 5P 4X4 TA;ESTADOS UNIDOS;2013;JEEP;JEEP;9246.39;6000;GASOLINA
NISSAN;FRONTIER DX DOBLE CABINA 4X4 2.4 M/T;JAPON;2008;CAMIONETA;PICK-UP;2450.0;2400;GASOLINA
MITSUBISHI;ASX AC 1.6 5P 4X2 TM;JAPON;2017;JEEP;JEEP;27078.52;1600;GASOLINA
CHEVROLET;SPARK LIFE 1.0 5P 4X2 TM;COLOMBIA;2016;AUTOMOVIL;SEDAN;8994.0;995;GASOLINA
FORD;MUSTANG AC 2.3 2P 4X2 TM;ESTADOS UNIDOS;2018;AUTOMOVIL;COUPE;50559.84;2300;GASOLINA
MITSUBISHI;OUTLANDER 200 MPI MOTION AC 2.0 5P 4X2 TA;JAPON;2017;JEEP;JEEP;39966.12;1998;GASOLINA
FOTON;GRATOUR BJ6425MD32A-AA AC 1.2 4P 4X2 TM;CHINA POPULAR;2018;CAMIONETA;FURGONETA;13500.0;1208;GASOLINA
HYUNDAI;H350 17PAS AC 2.5 5P 4X2 TM DIESEL;TURQUIA;2018;CAMIONETA;FURGONETA;57990.0;2500;DIESEL
KIA;PICANTO LX AC 1.2 4P 4X2 TM;COREA DEL SUR;2018;AUTOMOVIL;SEDAN;14990.0;1200;GASOLINA
KIA;SPORTAGE R GTI AC 2.0 5P 4X2 TM;COREA DEL SUR;2017;JEEP;JEEP;27192.0;2000;GASOLINA
GREAT WALL;HAVAL H2 AC 1.5 5P 4X2 TM;CHINA POPULAR;2016;JEEP;JEEP;23394.0;1497;GASOLINA
NISSAN;QASHQAI SENSE AC 2.0 5P 4X2 TM;REINO UNIDO;2018;JEEP;JEEP;33784.0;2000;GASOLINA
TOYOTA;NEW RAV4 AC 2.5 5P 4X2 TA;JAPON;2018;JEEP;JEEP;49990.0;2494;GASOLINA
CITROEN;BERLINGO AC 1.6 5P 4X2 TM DIESEL;FRANCIA;2015;AUTOMOVIL;STATION WAGON;15574.76;1560;DIESEL
MAZDA;CX-5 AC 2.0 5P 4X2 TA;JAPON;2017;JEEP;JEEP;36632.0;1998;GASOLINA
BYD;S6 GS UF AG PLUS AC 2.4 5P 4X2 TA;CHINA POPULAR;2017;JEEP;JEEP;29730.4;2400;GASOLINA
HYUNDAI;ACCENT 1.6 4P 4X2 TM;COREA DEL SUR;2017;AUTOMOVIL;SEDAN;15992.0;1600;GASOLINA
CHEVROLET;D-MAX CRDI FULL AC 3.0 CD 4X4 TM DIESEL;ECUADOR;2014;CAMIONETA;DOBLE CABINA;7840.0;2999;DIESEL
SUZUKI;GRAND VITARA SZ NEXT SPORT AC 2.4 5P 4X2 TA;ECUADOR;2017;JEEP;JEEP;23992.0;2400;GASOLINA
HYUNDAI;TUCSON TL AC 2.0 5P 4X2 TA DIESEL;COREA DEL SUR;2016;JEEP;JEEP;29994.0;2000;DIESEL
FIAT;500X 140CV TREKKING AC 1.4 5P 4X2 TA;ITALIA;2017;JEEP;JEEP;28792.0;1368;GASOLINA
MAZDA;CX-3 ENTRY AC 2.0 5P 4X2 TM;JAPON;2017;JEEP;JEEP;23992.0;1998;GASOLINA
DACIA;DUSTER AC 1.6 5P 4X2 TM;RUMANIA;2014;JEEP;JEEP;7238.3;1600;GASOLINA
DOMY;X5 AC 1.5 5P 4X2 TM;CHINA POPULAR;2018;JEEP;JEEP;19990.0;1500;GASOLINA
MERCEDES BENZ;C-CLASS AC 2.0 4P 4X2 TA;ESTADOS UNIDOS;2016;AUTOMOVIL;SEDAN;19625.13;2000;GASOLINA
HYUNDAI;SANTA FE SPORT AC 2.4 5P 4X2 TA;ESTADOS UNIDOS;2017;JEEP;JEEP;26352.05;2400;GASOLINA
TOYOTA;HIGHLANDER XLE AC 3.5 5P 4X4 TA;ESTADOS UNIDOS;2016;JEEP;JEEP;48237.54;3500;GASOLINA
TOYOTA;RAV4 AC 2.0 5P 4X2 TA;JAPON;2018;AUTOMOVIL;STATION WAGON;42374.08;2000;GASOLINA
